n,Iterative,Recursive
1030,8126,89379
1031,7697,88953
1032,7698,87669
1033,8125,104348
1034,7698,90235
1035,7698,91518
1036,7698,92801
1037,8126,89807
1038,8125,89380
1039,8125,86386
1040,8126,88097
1041,7698,93656
1042,7698,92374
1043,7697,91518
1044,8125,92801
1045,8126,92374
1046,8125,90235
1047,8125,112473
1048,8553,87669
1049,8125,85103
1050,8554,100499
1051,7698,86814
1052,8125,85104
1053,8125,86814
1054,8126,85530
1055,8125,88953
1056,8126,90235
1057,7698,88952
1058,8125,86386
1059,7698,86386
1060,8126,86386
1061,8126,86386
1062,8553,86386
1063,10691,87242
1064,8553,86814
1065,7698,86814
1066,8553,86814
1067,8553,101782
1068,8125,87241
1069,8125,87241
1070,7697,87669
1071,8125,87669
1072,8126,87241
1073,8125,87669
1074,8553,87669
1075,8126,87669
1076,8553,88097
1077,8125,89807
1078,8554,87669
1079,8554,88097
1080,8553,88096
1081,8125,88097
1082,8126,88097
1083,8126,88097
1084,8553,101782
1085,8125,88525
1086,8126,89380
1087,7698,93229
1088,8553,88525
1089,8553,88953
1090,8553,88953
1091,9836,88952
1092,8553,88952
1093,8125,89380
1094,8553,89807
1095,8553,89380
1096,8126,89807
1097,8126,89808
1098,8553,89808
1099,8981,90235
1100,8553,89808
1101,8553,105631
1102,8126,89808
1103,7698,90235
1104,8553,90235
1105,8553,90235
1106,8125,89808
1107,8980,90662
1108,8553,90235
1109,8553,90663
1110,8553,90663
1111,8553,93228
1112,11119,100499
1113,8553,95367
1114,8126,96650
1115,8553,97078
1116,8553,94084
1117,8553,154383
1118,8126,112901
1119,8126,99643
1120,8553,100072
1121,8553,102210
1122,9836,101782
1123,8554,424233
1124,8553,91946
1125,8553,91946
1126,8553,92373
1127,8553,95367
1128,8553,92373
1129,8553,91945
1130,8553,91945
1131,8553,96223
1132,8553,91518
1133,8980,92373
1134,8553,94940
1135,8554,107769
1136,8554,92801
1137,8553,96650
1138,8553,92801
1139,8553,92801
1140,8553,92801
1141,8981,96650
1142,8981,93229
1143,8553,93229
1144,8981,93229
1145,8981,93229
1146,8553,93229
1147,8553,95795
1148,8553,97078
1149,8553,93656
1150,8553,94084
1151,8553,93656
1152,10264,106486
1153,8553,94084
1154,8981,97505
1155,8980,94939
1156,8981,94939
1157,8553,94512
1158,8553,94512
1159,8981,94512
1160,8981,97078
1161,8553,117605
1162,9836,97933
1163,8553,95367
1164,8553,97933
1165,8980,98788
1166,8981,96650
1167,8554,96222
1168,8981,98361
1169,8981,116750
1170,8981,100498
1171,8980,110763
1172,8981,109907
1173,8981,109480
1174,8980,108625
1175,8981,97505
1176,8981,104348
1177,9409,2341408
1178,9409,103065
1179,9409,101782
1180,8981,100499
1181,8981,101354
1182,8981,97505
1183,9408,97505
1184,9408,97078
1185,8981,96650
1186,8981,97505
1187,11119,116322
1188,8981,97078
1189,9409,97933
1190,9409,97505
1191,8981,97505
1192,9408,101781
1193,13685,220670
1194,9409,108625
1195,9408,112046
1196,8981,107341
1197,9409,109052
1198,9409,110762
1199,9409,108197
1200,9408,109052
1201,9409,108624
1202,9409,109908
1203,9408,109052
1204,11547,148396
1205,9408,114184
1206,9408,110335
1207,9408,109479
1208,9408,108624
1209,9408,112046
1210,9408,113329
1211,8981,109052
1212,9409,108625
1213,9408,110335
1214,9408,110335
1215,9409,112473
1216,9408,109052
1217,9409,114183
1218,9836,110334
1219,9408,111190
1220,9836,111190
1221,9408,121454
1222,8980,96650
1223,8980,97505
1224,8980,101355
1225,8981,93229
1226,9408,101782
1227,9408,100499
1228,9408,95367
1229,8981,106913
1230,9408,98788
1231,9408,103493
1232,9408,102209
1233,9408,102637
1234,9408,131718
1235,8981,135566
1236,9409,104775
1237,9408,111618
1238,9409,133428
1239,9408,100071
1240,9409,100926
1241,9409,106058
1242,9408,109908
1243,9836,109907
1244,9836,116322
1245,9836,114612
1246,9836,110335
1247,9836,144975
1248,9409,144975
1249,9408,140271
1250,9837,147969
1251,9836,145830
1252,9836,120598
1253,9408,139415
1254,9836,138988
1255,9408,129151
1256,9836,100927
1257,12402,125730
1258,14541,181325
1259,10264,195866
1260,9408,298931
1261,9836,121027
1262,9409,134711
1263,9408,114184
1264,9409,648752
1265,178332,109907
